date,jobs_number,index,index_change_from_base
2016-05-03,52,100,0
2016-05-04,53,101.9230769230769,1.9230769230769056
2016-05-05,57,109.6153846153846,9.615384615384599
2016-05-06,64,123.0769230769231,23.076923076923094
2016-05-07,65,125.0,25.0
2016-05-08,64,123.0769230769231,23.076923076923094
2016-05-09,64,123.0769230769231,23.076923076923094
2016-05-10,64,123.0769230769231,23.076923076923094
2016-05-11,64,123.0769230769231,23.076923076923094
2016-05-12,64,123.0769230769231,23.076923076923094
2016-05-13,61,117.3076923076923,17.307692307692307
2016-05-14,60,115.3846153846154,15.384615384615401
2016-05-15,60,115.3846153846154,15.384615384615401
2016-05-16,56,107.6923076923077,7.692307692307693
2016-05-17,62,119.2307692307692,19.230769230769198
2016-05-18,64,123.0769230769231,23.076923076923094
2016-05-19,59,113.4615384615385,13.461538461538495
2016-05-20,59,113.4615384615385,13.461538461538495
2016-05-21,58,111.5384615384615,11.538461538461505
2016-05-22,52,100.0,0.0
2016-05-23,52,100.0,0.0
2016-05-24,59,113.4615384615385,13.461538461538495
2016-05-25,76,146.1538461538462,46.15384615384619
2016-05-26,78,150.0,50.0
2016-05-27,83,159.6153846153846,59.61538461538461
2016-05-28,75,144.2307692307692,44.2307692307692
2016-05-29,72,138.4615384615385,38.46153846153851
2016-05-30,72,138.4615384615385,38.46153846153851
2016-05-31,68,130.7692307692308,30.769230769230802
2016-06-01,66,126.9230769230769,26.923076923076906
2016-06-04,60,115.3846153846154,15.384615384615401
2016-06-05,60,115.3846153846154,15.384615384615401
2016-06-06,60,115.3846153846154,15.384615384615401
2016-06-07,47,90.38461538461539,-9.615384615384613
2016-06-08,54,103.8461538461538,3.846153846153797
2016-06-09,54,103.8461538461538,3.846153846153797
2016-06-10,61,117.3076923076923,17.307692307692307
2016-06-11,64,123.0769230769231,23.076923076923094
2016-06-12,64,123.0769230769231,23.076923076923094
2016-06-13,64,123.0769230769231,23.076923076923094
2016-06-15,72,138.4615384615385,38.46153846153851
2016-06-16,71,136.5384615384615,36.53846153846149
2016-06-17,70,134.6153846153846,34.61538461538461
2016-06-18,64,123.0769230769231,23.076923076923094
2016-06-19,64,123.0769230769231,23.076923076923094
2016-06-21,63,121.1538461538462,21.153846153846203
2016-06-22,78,150.0,50.0
2016-06-23,80,153.8461538461538,53.84615384615381
2016-06-24,92,176.9230769230769,76.9230769230769
2016-06-25,83,159.6153846153846,59.61538461538461
2016-06-26,89,171.1538461538462,71.15384615384619
2016-06-27,89,171.1538461538462,71.15384615384619
2016-06-28,89,171.1538461538462,71.15384615384619
2016-06-29,89,171.1538461538462,71.15384615384619
2016-06-30,90,173.0769230769231,73.0769230769231
2016-07-01,75,144.2307692307692,44.2307692307692
2016-07-02,75,144.2307692307692,44.2307692307692
2016-07-03,74,142.3076923076923,42.30769230769229
2016-07-05,85,163.4615384615385,63.46153846153851
2016-07-06,87,167.3076923076923,67.30769230769229
2016-07-07,88,169.2307692307692,69.2307692307692
2016-07-08,90,173.0769230769231,73.0769230769231
2016-07-09,88,169.2307692307692,69.2307692307692
2016-07-10,84,161.5384615384615,61.53846153846149
2016-07-11,84,161.5384615384615,61.53846153846149
2016-07-12,84,161.5384615384615,61.53846153846149
2016-07-13,83,159.6153846153846,59.61538461538461
2016-07-14,81,155.7692307692308,55.7692307692308
2016-07-15,81,155.7692307692308,55.7692307692308
2016-07-16,85,163.4615384615385,63.46153846153851
2016-07-17,84,161.5384615384615,61.53846153846149
2016-07-18,84,161.5384615384615,61.53846153846149
2016-07-19,84,161.5384615384615,61.53846153846149
2016-07-20,88,169.2307692307692,69.2307692307692
2016-07-21,89,171.1538461538462,71.15384615384619
